"Title","Body","Submitted" 
"16829","Anyone play Street Fighter V? I'm looking for a sparring partner to get my Guile or Dhalsim up to speed (just about to buy the game this Steam Autumn/Winter sale).","November 20, 2018 9"
"16828","",""
"16827","I wish i could see you more but my eyes are really bad HAHAHHAAH","November 20, 2018 9"
"16826","GROUP MATE PET PEEVES:
1. When they only partially work and think it's okay. Like, contributing a shitty paragraph in a case study does NOT count.
2. They don't try at ALL.
 3. When you tell them you'll work at a specific time because you're busy but they wait for you to be there to start even if they could've started because they don't know how to do things themselves!
 4. When they make you do all the work!!!!
 5. When they're pretending to contribute by being ""positive"". No. Doesn't work that way.
 6. When they say they're ""busy"". EVERYONE is busy. I don't wanna say I'm busier but I know I'm fucking ""busier."" I don't say it because there is nothing that comes from saying you're ""busy"". You have to take responsibility and accountability of being a group mate.
 7. They prioritize their work and neglect the group work completely. This is why I hate working with others! I want to do my own work but I have to do group works because people rely on me but they don't even feel that way too. GOD I HATE GROUP WORKS!","November 20, 2018 9:40:52 PM +08"
"16825","When you kinda want to see a someone everyday
When you kinda feel happier everytime you and this someone interact
When you kinda feel it's more than a crush 
 But you also kinda feel that this someone's over you already Ya feel me?","November 20, 2018 9:35:42 PM +08"
"16824","Why are there so many black rhino rims in ateneo?","November 20, 2018 9"
"16823","Lolo, wala akong regalo?","November 20, 2018 9"
"16822","Hey guys. I need your help. My prof just accused me of plagiarism. But the plagiarised text comes from an academic journal that I, myself, wrote. So I thought no requirement to cite it. Nevertheless, my prof still says it's plagiarism. Is she right on this? Why or why not?","November 20, 2018 9"
"16821","where do i go if i need to take a dump at school?? the less people the better, the more comfortable and clean also the better thanks","November 20, 2018 9"
"16820","Does anyone still play Overwatch? If so, what's your rank?","November 20, 2018 8"
"16819","tangina garapal talaga yung grab food sa mga milktea places halos buong store inorder","November 20, 2018 8"
"16818","How to login to OBF with your laptop?
Do I just need to forget OBF on my phone?","November 20, 2018 8:41:12 PM +08"
"16817","why are creative writing majors so cute wtf they look like models","November 20, 2018 8"
"16816","ako lang ba yung nagnanakaw ng starbucks cups na patapon na? para gawing lalagyan at dyaryo?","November 20, 2018 8"
"16815","Wanted to give an FAIR AND UNBIASED opinion on the recent PANA post in AFW. I am not trying to put down anyone, but would want to give credit to PUP the declared winner of the competition.

First off, I have a couple of friends part of the team and I know the coaches of the ADMU team and they had no doubts on the results. Something that strikes me more is the fact that the post was shared by 400+ people, but interestingly, among my friends only students from one school shared it and felt strongly against it. While this is obviously the likely outcome since they were the most affected, the proof that Ateneans generally agree with the results is a strong statement in itself. Second, I rewatched the video of PUP and it was really amazing. No doubt that UP also had an amazing presentation, but PUP's plans was really focused and targeted. PUP vs the Ateneo's and UP's showed amazing art vs just showing science. While marketing is heavily dependent on science, at the end of the day science will only bring you so far, it is art that changes the game. I am 100% sure that PUP's art is the real deal. Third, it seems super fishy that the post was super focused and looked like it was written by someone heavily involved in the competition. As an Atenean SOM student who is active in competitions and has a lot of friends in competitions, I can be sure when I say that Ateneans are not as involved unless the ones competing or contributing. This post was probably written by someone really invested or had friends that were really invested. Going back to the first point it seems like the Ateneans really involved here have denied the allegations.  Fourth, the judges are all credible and are huge in the marketing organization. This does not mean they are not prone to fraud, but it also means that they have no gain already and most of them aren't doing this for money but they really believe in the future of marketing. In summary, I'm not saying that the post is false. That's the beauty and ugly of anonymity. We can never be too sure. However, given the points above, it is unfair to PUP that there are lots of bashers. We need to give credit where it is due. PUP was great. Whether you believed they were the best or not is your opinion. For the sets of judges, and for a lot of other students, PUP was the clear winner.","November 20, 2018 10:42:56 PM +08"
"16814","Are there any policies in the university regarding professors with more than 9 absences at this point? Concerned for a class of mine where my prof has cut a lot.","November 20, 2018 9"
"16813","I think my best friends are gorgeous and it makes me sad when they dont see it, regardless of how many times I tell them I think theyre beautiful.","November 20, 2018 8"
"16812","There's this guy I've been crushing on for a little while now. And honestly he's just so... dreamy. I know he's kind of shy and all, but I genuinely believe there is no way no other girl is interested in him yet. I mean he's adorable, he's such a gentleman and damn is he attractive and tall and fuck does he look good when he's dressed up.

I wanna pursue him but fck finals are coming up and I gotta focus. I just wanna say Boi ure fine and I want you.
 Pls notice me.","November 20, 2018 8:21:09 PM +08"
"16811","highkey encourage all couples to read this post even if it's quite lengthy, and please feel free to give your own insights

i can't help but feel bad for couples who have the ""above/under"" type of dynamic wherein either one of them is very strong in terms of personality, while the other leans toward the more passive side. inevitably, there will always be someone who is dominant/ submissive in a relationship, but what gets really scary is when for example, the girl (or the boy of course) gets EXTREMELY  controlling of her partner to the point where the partner is all but a  small little dog that follows her around, gets too scared when she gets mad, and gets anxiety attacks whenever he thinks he did something wrong. it gets really sad because even if you want to tell them that there is something wrong with the dynamic, you can't help but realize that the ""under"" does it out of love. At what point do we draw the line between saying that it is okay to do it out of love, and saying that the girl, is simply too toxic for the boy and simply abuses his kindness?   again, this can conversely happen the other way around wherein the male is the more dominant figure and that the female gets treated and taken advantage of simply because she was kind.  hoping for some great feedback!","November 20, 2018 8:12:24 PM +08"
"16810","I looked into 14,000,605 futures, and there is 0 for Theater Arts students.","November 20, 2018 8"
"16809","Are there any gay bears/otters in ADMU? I need a big boyfriend to hug :(","November 20, 2018 8"
"16808","gabing-gabi na... sa isang magubat na part ng campus... may nakita kaming couple super cuddly akala ko nung una nagmmomol seemed like it idk. haha sweet nila tho 😯💖 mej kabitter HAHA 😢 pero go lang","November 20, 2018 8"
"16807","hi all u cookie hoes pls stay outta my way tom and the rest of the week bECAUSE I GOTTA GET ME MY COOKIES hahahhaaaa i aint playin 🙂","November 20, 2018 7"
"16806","Is it block-cest if you knew each other before ateneo?","November 20, 2018 7"
"16805","Why are some ateneans so parang like bobo magpark. Gave the guy beside him a hard time parking. What an asshole","November 20, 2018 7"
"16804","Putangina. I can't do what I want because I'll get killed by my friends who boycott. I mean, what if it's the only thing available, I'll starve myself nalang?

I'm all for social justice and all but like, if it's the only choice, don't call them out na.","November 20, 2018 7:37:57 PM +08"
"16804","@The admins

Do highschool students still post crush posts here?","November 20, 2018 7:33:54 PM +08"
"16803","hi pwede bang may mag-explain sakin if singkit people are more prone to being sleepy than non-singkit people? DI AKO RACIST sobrang curious lang ako kasi may classmate akong laging tulog sa class pero usually siya yung nakakatapos ng exam nang mabilis tas matataas pa lagi yung score ?? Sobrang advantage niya kasi sa sobrang singkit niya, di masasabi ng prof kung tulog ba siya or nakikinig talaga sa class. Asking for a friend lang......","November 20, 2018 7"
"16802","Bakit lahat ng may pangalan na ""Adrian"" ang cute/gwapo :( cute niyo lahat goodness","November 20, 2018 7"
"16801","i feel scammed, where are the cookies (by the bucket) at??????? hassle dude pare broski chong :/","November 20, 2018 7"
"16800","YOU Guys should go to IGPAW and watch the great Music industry Performers ESPECIALLY NOTHING PERSONAL, Ascension,
Doubtful Figure and Labyu 2","November 20, 2018 7:11:47 PM +08"
"16799","just wanna say
Hayley Kiyoko is fucking queen","November 20, 2018 6:56:40 PM +08"
"16798","bat ang labo mo : (","November 20, 2018 6"
"16797","is this ateneo?","November 20, 2018 6"
"16796","Ya'll are arguing about the necessity of core subjects but as an Information Design student, honestly, NALUGI KAMI SA ID CURRICULUM. Information Design has become NECESSARY because we are at a point wherein everyday technology is changing. PERO HINDI E. Hanggang participatory art lang ang kaya at gusto ng Ateneo. Walang paki sila sa research and development. Any BFA ID student I know isn't brilliant as a product of the course's formation—NO, they are brilliant because they in themselves are talented and hardworking individuals. THE CURRICULUM DIDN'T TEACH THEM SHIT. THEY TAUGHT THEMSELVES. So what does that leave? STUDENTS WHO WANT TO EXCEL BUT DON'T KNOW HOW. NAKAKABWISIT ""ARETÉ"" IS A FUCKING JOKE","November 20, 2018 6:41:44 PM +08"
"16795","",""
"16794","I fukin like youuuuu","November 20, 2018 6"
"16793","Hi would anyone know how to access the ateneo’s Microsoft account? I’m a sophomore and I just found about it now this year soooo I wanna know if I can still access it :(( pls help me out huhu","November 20, 2018 6"
"16792","Serious question:
Ano mas masarap, Gonzaga TOP or BOTTOM????","November 20, 2018 6:10:56 PM +08"
"16791","Buti pa yung freedom wall buhay pa
Eh yung admu crushes wala na PINISH NA","November 20, 2018 6:08:52 PM +08"
"16790","happy crushing on both a freshie and a supersenior send help","November 20, 2018 5"
"16789","“Stop the drama about PANA” says a poster who proceeds to talk about PANA.","November 20, 2018 5"
"16788","Any gold+ League players here ?","November 20, 2018 5"
"16787","Not that I feel like a big deal or anything, but if admu crushes doesn't post anything by the end of this week, I'm un-liking the page :/","November 20, 2018 5"
"16786","anyone here play League?
what are ur ranks","November 20, 2018 5:40:50 PM +08"
"16785","what happens if you cut reco?","November 20, 2018 5"
"e: The PANAnaw 2018 Awards","",""
"16784","helo loking for friend chiecken","November 20, 2018 4"
"16783","Life is great.","November 20, 2018 4"
"16782","You know what's sad

When you are about to make a move and you realize that someone already made a move on her or she has a boyfriend alr3ady sad reaccss","November 20, 2018 4:17:41 PM +08"
"16781","faker is my kink","November 20, 2018 3:1"
"16780","Dont let these posts distract you from the fact that it was international Mens day yesterday and noone gave a damn #equality?","November 20, 2018 3"
"16779","Yung tipong alam mo na perfect siya sa iyo, you've been dating na a while, same course, same school, same hobbies, same weird quirks, but you still met on Tinder. Pero even if we didn't meet in Ateneo, I wouldn't have it any other way <3","November 20, 2018 2"
"16778","ateneo fortnite tournament?
like if u agree","November 20, 2018 2:51:16 PM +08"
"16777","I’m just a girl asking a guy to show some lambing even if he’s busy like I know you’re busy but isn’t this relationship supposed to be a two-way thing why does it feel like I’m giving all the love and receiving emptiness instead","November 20, 2018 2"
"16776","I know it’s wrong to say the n word but that shit turns me on and I have no idea why... probably because it’s so taboo that it feels like I’m defying society or something. God why does this word make me hard","November 20, 2018 2"
"16775","Big Apple >>>>> The Galley!!!! (a bit) cheaper plus more filling and combo w onion rings is the 💣!!!!","November 20, 2018 2"
"16774","Is it a valid reason to not be sweet with your boyfriend because you’re busy with acads?

Asking for a friend","November 20, 2018 2:16:52 PM +08"
"16773","PSA lang:

May org na may film showing ng BuyBust. Syempre, may bayad. Pero kung may NetFlix subscription ka, wag ka na pauto sa org na yun. Pero kung wala ka namang netflix, go lang sa showing ng org. Basta wag lang sayangin ang pero pero wag din palampasin ang pagkakataong panoorin ang pelikula. Ganda talaga e.","November 20, 2018 2:08:53 PM +08"
"16772","Ok listen up folks, here’s the tea 🍵

I am very disappointed with whoever is handling this year’s ID party finances. For one, sobrang supot ng party. But that’s not where this is coming from entirely. When I first saw the ID seniors posting about their deck of cards I thought na ang mahal niya. 650 for a deck of cards? Pero sige pagbigyan kasi nga naman diba support artists. Only to find out when I asked a friend kung nakakakuha ba sila ng comission ay aba, wala. 650 and none of the artists gets anything. Funds daw para sa party. Seems a bit unethical. Even worse is nakita ko yung quality ng cards kasi may kaibigan akong bumili... sana ako na lang pumrint. Hindi po ganoon ka mahal magprint ng ganung quality. Ibig sabihin sobrang laki ng patong sa cards, hindi pumupunta sa artists, at pumunta sa napakasupot na party. Very disappointing ID seniors, but the ones who are managing the finances especially. May transparency ba between you and your batchmates or napupunta lang ba lahat ng pera sa mga bulsa niyo? -a graduate","November 20, 2018 1:38:22 PM +08"
"16771","Is being busy a valid reason to stop being sweet with your boyfriend?","November 20, 2018 12"
"16770","New parking space available besides SMDC Blue residence! 
4,200 per month
1,100 per week
 Only 24 slots left! 
 Reserve thru viber 09177950406","November 20, 2018 12:30:32 PM +08"
"16769","ang galing ni kemba walker enge naman tips sa #ShootYourShotSZN","November 20, 2018 12"
"16768","Is it stalking if I follow someone because I genuinely like reading their posts, with no malicious intent?

Is it creeping if I try to message someone because I genuinely want to talk to and befriend them, with no malicious intent?","November 20, 2018 12:01:08 PM +08"
"16767","I'm not pro Marcos or anti yellow but...

Why the fuck did Cory Aquino have to ruin this country man... Somebody else should've replaced Marcos. Stopping the Bataan nuclear power plant? Stopping the circumferential road in Laguna? Look at our country now. I hate Marcos and I hate the fucking aquinos, AND I HATE DUTERTE. The state of this country gave me depression ampota","November 20, 2018 11:37:51 AM +08"
"16766","tag all ur guy friends with long hair asdfghjkl such men 😍","November 20, 2018 11"
"16765","help!!

My barkada gives dry ass replies or no replies at all when I message the gc, they just seenzone it. Also, Whenever I leave the gc, not a single person there asks me what's wrong nor do any of them even adds me back to the gc. Oh and, when I ask any of them in private if I'm okay, they always say yes. Dude what? ugh. What should I do?","November 20, 2018 11:20:44 AM +08"
"16764","Why does UPD Freedom Wall need our gmail? The lack of frv related posts over there makes me think that they censor the posts there regarding those. How ironic that the university that is said to be open censors a lot of things. Well, at least if my brother over there dies by frv I get his insurance money lmao","November 20, 2018 11"
"16763","Replying to a comment from #ADMUFreedomWall16594
“Why did you get kicked out? Personal differences or output-related?”
A bit of both. Three of the 5 didn’t like me beforehand, and we were just putting up with one another. Then they got highly annoyed that I edited their parts so much, to the point that I essentialy re-did it. Meanwhile, I actually had not yet done my part. That was honestly because I knew I could finish my part before the deadline, so I decided to work on fixing their submissions, which I found lacking.
 I work better alone, not gonna lie, so I didn’t mind doing the project solo. Though I kinda feel bad for the 2, because I don’t have anything against them. So, I’m retracting 2 of the midfings.
 For you three... 🖕🏻🖕🏻🖕🏻","November 20, 2018 10:48:53 AM +08"
"16762","I’ve fallen for you. My heartaches when I don’t get to see you, when I do colours seem brighter, the world feels like it’s finally gonna be ok and for the first time in a long while I’m actually happy without feeling any guilt for feeling this way. 
I don’t know what specifically about you I admire the most. Is it your wit, your conviction to stand up for what you believe in, your empathy and kindness. Maybe it’s all of the above, all I know is that I’m hopelessly in love. 
 I thought I could be mature about this, there’s no need to complicate friendship with an unnecessary relationship. You’re always so busy with work and studies yet you always manage to find time for me. Our little dinners I notice you’re always so tired yet you still try to stay attentive to me. Maybe it’s just me but you trying for me just makes me so happy I just wanna make you happy in the same way.","November 20, 2018 9:21:32 AM +08"
"16761","Nasaan yung cookies by the bucket","November 20, 2018 10"
"16760","**PANA INCIDENT**

Can the other teams confirm how the judges ""grilled"" them? But not PUP for the same reasons?
 UP Visayas? About the bonfire? Seen on #ADMUFreedomWall16710
 Ateneo? About the 3M budget? Seen on #ADMUFreedomWall16745 I wasn't there during the event but I'm geninely curious. I just want to validate facts.","November 20, 2018 9:27:29 AM +08"
"16759","RE: PANA POST

PLEASE STOP THE DRAMA.  sobrang halata that the writer was from the UP PANA team. 
 1. mentions Ateneo Pana team members as reference for credibility 
 2. makes condescending side jokes about UP so that it’s not too obvious that a UP students posted it 
 3. how do you even know the criteria so well?? MALAMANG URE FROM A TEAM.  the least you could have done was to write the post better??? 
 tbh, it’s so evident that it’s just you guys who gives this big of a shit for this whole thing? like damn, chill out. get over it.  Why can’t we just be happy for a school that doesn’t win so often? Personally, the PUP win was expected. Yes, the judges’ comments were off at times, and yes UP’s presentation was no doubt some great shit… but PUP’s was overall the most realistic and doable campaign. Offhand, UP’s campaign seemed like a tourism campaign that just inserted sustainability. PUP’s campaign effectively highlighted the sustainability aspect. YES, the jingle was their strong point.. but really, realistically, a jingle goes a long way especially with their target market. I see how the judges could really lean towards their campaign.  “If we lose to a fucking jingle, tangina lang.” - UP PANA team member heard outside Irwin.  Please stop being such obnoxious and entitled people with this. When the PUP team won, the least you could have done was to try to be happy for them. Crying on stage and making a scene at the side or Irwin after the awarding was just so tasteless. It reflects so much on how entitled you are. We get that you always win. Sadly, it seems to have gotten to your head. Para kayong mga bata eh, mga iyakin.  It was not in losing to PUP that you lost your pride. It was in how you reacted when you got second place. With the way you acted, and are acting to invalidate their win, you are a disgrace to the marketing community. Nakakahiya kayo and it’s disgusting. In this case, you are definitely not deserving of winning.  Please get off your high horse, get your heads out of your asses, and get off of our freedom wall. Stop using ADMU’s platform for your dirty shit.  SIT DOWN. BE HUMBLE.  If you can’t take losing, then don’t join the competition.  Best Regards,  A real ADMU student using the ADMU freedom wall :)","November 20, 2018 8:54:04 AM +08"
"16758","h0y!

if u havent watched bojack horseman do ur depressed ass a favor and watch that shit yo","November 20, 2018 8:17:15 AM +08"
"16757","@freshies that think they will be banal until grad

kitakits nalang sa TJs in a year or two","November 20, 2018 8:09:26 AM +08"
"16756","Hello! I just wanted to know who this girl is. Crush ko po siya ih. Never got a chance to know her name. :--( baka naman pwede ka makilala oh hahahaha jk","November 20, 2018 8"
"16755","Apparently there’s gonna be an event in Arete wherein they need to close the North car park for those people who want to go to the event?????? Wala nangang parking sa Ateneo isasarado pa ako para sa event na ‘to??? Tas araw-araw na raw yung event??? AMPOTA","November 20, 2018 7"
"16754","best momol spots in katipunan?","November 20, 2018 6"
"16753","People struggle everyday battling themselves and the outer world. But i’m happy for those who are strong enough to face it themselves, it means they had courage and faith. People like them deserve all the love in the world. It is rare for people to grow independent.","November 20, 2018 6"
"16752","I find it really rude when people just seenzone messages. Like pls have the courtesy to reply, kahit isang word man lang. 
Don’t snob people especially if its something important. How can people respect you? How can people rely on you for something important? 
Tsk tsk tsk.","November 20, 2018 6:46:28 AM +08"
"16751","#ADMUFreedomWall16733

Clearly this was written by some aspiring basketball player or a big fanatic.","November 20, 2018 3:40:43 AM +08"
"16750","You know what’s frustrating??? Girls who have a lot of guy friends. You don’t know if they’re single or not because every time you see them they’re with a different guy.","November 20, 2018 3"
"16749","Galet kayo no. Kase nag iwan kami ng BAKAS na di nyo malilimutan hehe.","November 20, 2018 2"
"16748","Hey, OG PANA rant guy here.

I've seen share posts and comments on how I got info that concrete. It's because I helped a friend cover the event for a write up. She stayed on the right side and I stayed on the left. We just corroborated stories to fit and confirm everything we watched. That's the reason why we have almost all relevant information covered, down to the details like notable stuff per presentation, etc. If you have any more questions feel free to comment below. I'd gladly address it.  P.S. Don't even dare pretend to be me just to twist the stories. I left codename initials for the ADMU FW Team. :)","November 20, 2018 2:22:00 AM +08"
"16747","Ur seatmate when you go to ur next class after pe and u didnt shower cuz u late.","November 20, 2018 1"
"16746","Ang masasabi ko lang sa PUP about the PANA incident: punta kayo ng Ateneo Grade School meron na dun yung gusto niyong i-implement na basketball court-like trash cans HAHAHAHAHAHAHAHA","November 20, 2018 1"
"16745","Gusto ko lang makisawsaw sa PANA incident

HOY PANA JUDGE, YOU FUCKING GRILLED ADMU FOR OUR BUDGET AND HOW THEY SPENT 3M FOR INFLUENCERS EH GAGO PUP DIDN'T EVEN HAVE A BUDGET BREAKDOWN FOR ALL THEIR EXECUTIONS AND YOU DIDN'T EVEN ASK ANYTHING ABOUT IT? TALK ABOUT BIASED All caps para intense also, LABYU JOYCE LEE proud of you pa rin #AJMAStrong","November 20, 2018 1:31:47 AM +08"
"16744","When I'm with you, I think about spaces.
Our tactile platonic love consisted of a shoulder to cry on or simply someone to rest against with the weight of our worlds neatly pressed against our spines. We had each other to keep grounded. Understanding and communicative touch to remind us of simple things and push us to better headspaces. When I'm with you, I think about spaces.
 Bus rides are bumpy and I often pass it asleep. Sometimes I hear the soft rustling of cloth as I take a nap and find your jacket draped against my chest, blanketing you and I from the blast of the overworked aircon. While you believe I'm asleep, you kiss my forehead and hold my hand. The noise of the ride mask the butterflies that have suddenly started banging around my insides. When I'm with you, I think about spaces.
 Often times, things are busy and dates compose of you and I talking to other people on our phones. It can't be helped. Work and acads don't have a curfew. We may be mentally in other places but your hand is on mine right as my phone is deposited in my bag.
 I look up and see your patient smile. You call out my shyness after all this time as if I don't always get flustered by your comforting touch. I feel the redness in my ears bloom.  When I'm with you, I think about spaces.
 How your hand eclipses mine and your love has swallowed mine whole. I think of spaces and gaps and being worlds apart but we are the farthest thing from it.","November 20, 2018 1:29:45 AM +08"
"16743","Re: PANA post

I totally agree haha I actually noticed the lady judge was embarrassing all the teams. I remember how UP Visayas had an amazing race as an execution and part of it was doing/making a bonfire. She even told them how bonfires were illegal and they should have done their homework to know that it's illegal. Pero when PUP recommended Laboracay 2.0, which again, was already illegal, she just laughed it off and gave a sarcastic comment. If that isn't bias then idk what is. I hope the other people who were there speak up as well. If PUP believes that they deserve that award, they should be willing to have PANA post all the videos. If not, then that says a lot. :)","November 20, 2018 1:25:03 AM +08"
"16742","Update on #ADMUFreedomWall16710

It's me again. To the person who posted #ADMUFreedomWall16732, just know that I have nothing against PUP and I was not directly attacking PUP's representatives. I never said produced shit output. If you go back to my post you'd see I actually commended them and their campaign. I'm attacking the mechanism and the ""system"" that runs in that organization. Para matapos na lahat, I just want PANA to post the criteria, the videos of all the presentations, and the breakdown of scores. I'm sure everyone would appreciate that. If PUP is certain that they check off all the criteria then what's there to fear? I understand the fact that the scoring may be objective to some extent but for things that you can clearly quantify, like say specific marketing technicalities, dun talaga magkakatalo. Both teams presented great campaigns, it's just that as for marketing technicalities, the other really stood out clearly. A video including the Q&A would be great too. That's where you'll see how the judges didn't grill PUP at all when there were lots of things that can possibly be questioned vs all the rest of the teams, not just UP. Everyone else was grilled for the algorithms of their apps/sites etc, for the sustainability aspect. Accountability and transparency, PANA. That wouldn't be difficult to give if everything was well-deserved. I hope all PANA teams encourage this for the sake of transparency. :)","November 20, 2018 1:16:06 AM +08"
"16741","idc how u much u try to sell that idea, but [org] is not a family. it only welcomes u if youre fun and pabida. it barely acknowledges the shy-er members of the community.","November 20, 2018 1"
"16740","Overheard someone say that -1/2 is greater than -1/3

uHMMM","November 20, 2018 1:03:19 AM +08"
"16739","#ADMUFreedomWall16732

Funny how PUP is pretending they didn’t write this post when it really seems like they did. Sobrang halata di niyo tanggap na nahuli na kayo.  Only shows cheaters never win.  PS. No one you know is surprised by the outcome because everyone you knew already knew PUP was gonna win. And this is ADMU Freedom Wall.  - Blues standing by Maroons","November 20, 2018 12:54:56 AM +08"
"16738","Thinking we all need another more recent suicide closer to home just as a reminder to be a little bit nicer to everyone.","November 20, 2018 12"
"16737","Is it true that CYA officers cant be in a relationship? asking for a friend :(((","November 20, 2018 12"
"16736","#ADMUFreedomWall16719

You may not actually be able to do anything yourself but try to keep a close watch on the person if there is a sudden change on him. Try not to give any special treatment to the person because most of them do not want to look pity on but rather treat the person how you normally treat them. The final move is always on the person but you people may give him the comfort of belonging. You could also search some signs because most of the time you will see it if you observe.","November 20, 2018 12:44:15 AM +08"
"16735","I’ve been very helpful to my totally handsome straight friend—maybe partly because I’m so in love with him. I know that he knows that I love him and that I can’t say no to him when he needs help. One night, he let me have my way with him.","November 20, 2018 12"
"16734","Bakit sa thesis groupmate ko pa ako nahumaling","November 20, 2018 12"
"16734","I’ve been very helpful to my totally handsome straight friend—maybe partly because I’m so in love with him. I know that he knows that I love him and that I can’t say no to him when he needs help. One night, he let me have my way with him.","November 20, 2018 12"
"16733","Why do people get mad at the fact that basketball is the most popular sport in the country? They mention how we should just focus on sports like billiards and football or some other height appropriate game. They say that basketball programs should be defunded and that we should literally just play for the medals.

Here's the reality. You aren't going to convince any young basketball player to play football by defunding basketball programs. These people play basketball because it's an entertaining and intense sport that they enjoy playing, of course they want to win but do you really think that forcing young players to play football instead is going to produce the next Messi? No. People play basketball because it's what they want, it's what entertains them. Watching LeBron drop 51, or Shaq destroying the rim after dunking hard, do you really think you can convince a young kid mesmerized by these videos to stop playing basketball and play tennis, a sport he does not even love? These kids aren't playing for the gold medals, they play because they want it. This country won't produce the next Jordan any time soon, or the next Wade, hell it wouldn't even produce just an Isaiah Thomas tier player, but I'd rather be in country that encourages people to enjoy what they want and play what they want rather than forcing kids to play a sport they don't give a shit about, just for some medals that other Filipinos brag about. Promote football more, promote tennis more, promote all these lesser popular sports in our country, but remember that bringing down basketball won't turn us into a FIFA competitor to Brazil, you can't convince a person who loves Kyrie Irving's insane ball handling skills to love football just because his countrymen want him to earn a gold medal. A gold medal which he doesn't give a shit about, a medal only there so that Filipinos can brag about being Filipinos.","November 19, 2018 11:53:02 PM +08"
"16732","#ADMUFreedomWall16710

Funny how the UP is pretending they didn't write this post when it really seems like they did. Sobrang halata na di niyo lang tanggap na hindi kayo nanalo. PUP does not deserve your shit. Dami mong analysis dapat judge ka pala eh!  Even if you claim that the judges already knew who would win (really though, where's your proof of your dad's connections?) you cannot discredit PUP. No one I know is surprised with the outcome. At worst, it was a 50-50.  It sucks to lose, but honestly your attempt at justifying your second place finish is very sad. Don't tarnish your reputation. Suck it up and get over it. Don't let your biases get to you. Just be happy for PUP. P.S. Get better at assuming identities, sobrang defenesive mo about UP eh!","November 19, 2018 11:52:43 PM +08"
"16731","I just wanted to let you know how happy I was to walk with you that night. Just the two of us under the night sky and the cold air. I was so happy that we finally got to have a real conversation, since we only meet in one class. Even if it was only brief, I will treasure that moment for a long time. Everyday, I try to prepare something to talk about, but I never had the courage to actually talk to you. I am so sorry. I may look so calm from the outside, but there's a constant war inside of me all the time. My heart keeps telling me to talk to you, but my body won't let me. I cry everyday out of frustration. I hate myself for being so shy. I think: ""Why can't I talk like a normal person??"".  I think, if I wasn't just so shy, we could be closer by now. We're always working together, yet I still feel so awkward.  *sigh*.  The sem is almost over and I'm afraid that we might never see each other anymore. But one's thing for sure, I will never forget your beautiful smile that never fails to  brighten up my day. And you're so cute with the way you constantly fix your hair. But most importantly your voice. The moment I hear it, everything just feels right. I'm just scared of what might happen in the future. I just feel so happy imagining a future with you. I just don't know if a guy like you could actually like a guy like me.","November 19, 2018 11:51:54 PM +08"
"16730","pretty sure main gov't has always been colluding against us tbh","November 19, 2018 11"
"16729","follow up lang sa intact faci-freshman relationship mukhang walang consensus kasi ang core sa previous post kaya tanong ko ulit if okay lang please reply asap ty","November 19, 2018 11"
"16728","Wouldn't it be great if we had an Ateneo Props-for-Rent FB page? Kinda like Ateneo trade but only for prop rentals. I'm sick and tired of having to make/buy brand new props for every event, project, or group work. And if you think about it, there are a lot of repetitive props (giant letters, banderitas etc.) that just get thrown away after one use. If this happens, we get to save money, time, and the environment. Someone please make this happen! I would but I don't think I have enough influence to do so...","November 19, 2018 11"
"16727","Instead of falling in love with girls around Ateneo, I tend to find myself falling for the cars that I see inside the campus. From tuned civics to Mitsubishi Evos and some plush luxury cars. While my friends look for hot girls I try to keep on the look out for hot rides, and idk why. Maybe its because I’d rather be inside a 2012 Mitsubishi Lancer Evolution FQ400 than a hot college chick.

I think I’m too obsessed with cars please send help","November 19, 2018 11:29:59 PM +08"
"16726","overhaul has a receding hairline omg","November 19, 2018 11"
"16725","That Joji guy kinda looks like Filthy Frank...","November 19, 2018 11"
"16724","It makes me sad that Ateneo accepted one of my former HS batchmates who got kicked out of the school for doing AND dealing drugs. Feels weird seeing him walk around campus knowing what he did.","November 19, 2018 11"
"16723","oh god save me the apple-pen song is stuck in my head again","November 19, 2018 11"
"16722","tangina yung mga crush hindi marunong mag reply","November 19, 2018 11"
"16721","I love looking at you and I love it when you look back at me","November 19, 2018 11"
"16720","MERCURY RETROGRADE IS REAL SEND HELP","November 19, 2018 11"
"16719","guys i actually need help ASAP. i have a friend who mighy kill himself and i have no idea what to do. idk how i can help, what i should do, who to tell, if i should pls guys i need help i really do. i dont want to lose another friend pls","November 19, 2018 10"
"16718","I am tired of being misunderstood. I am tired of being the one who smiles, yet hides a shattered heart within. I am tired of unintentionally hurting the people I love.

Tapusin ko na lang kaya ang lahat? Baka ngayon, maunawaan nila ako.","November 19, 2018 10:42:39 PM +08"
"16717","Sometimes i wonder if you ever knew or if you know that i like you, Sorry for making things weird all this time","November 19, 2018 10"
"16716","I like this girl but a lot of other guys apparently like her already and shes too good for me...pretty, smart, sweet, kind...and im so normal??.. i feel like im squeezing myself in a picture i wont be seen parang walang point...nakakapagod pero andito parin lumalaban kasi gusto ko na nga yata talaga tong babaeng toh jeez dapat pa ba akong umasa o quits na?","November 19, 2018 10"
"16715","I’m currently studying in UST and I admit that I miss the Examen","November 19, 2018 10"
"16714","Ever felt like youd want to be in a relationship with someone but the timing and circumstances dont permit so :( then u kinda like the person pero youre afraid na in the process of getting to know eachother may hindi magcliclick and is it really worth the risk? Tangina labo eh basta","November 19, 2018 10"
